Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petróleos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valor de las ventas internas de petrolíferos por entidad federativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(pesos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REALES-MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21
Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superintendencia de Ventas Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasolinas,182074900,183847666.3,212929333.2,221986563.8,244741514.3,222570721.1,237864383.3,255684228.3,263121286.9,263037477.9,268847118.4,261990986,252827159.6,252356477.8,263355174.7,252529688.3,291344906.3,284197257.9,291160353.5,303022222,291454563.9,284591426.8,281688298.6,303407565.5,310043002.7,240232403.8,300129359.2,295616354,319424082.7,324173473.3,327762133,324259154.2,307124124.7,340803107.2,327052917.8,367117958.2,337711232.1,316471393.8,328887357.2,323796963,343394901,307640658.3,353499246.9,339197101.6,320053759.6,289733274.6,279080057.6,287876781.9,232219962.2,245129185.2,311131382,324573385.5,300628841,350984393.1,373020326.1,363366913.9,351558208.6,360106731.9,328400991.4,406274855.4,365378905.4,334633834.5,388487405,363077697.2,379454567.1,381246092.9,391881960.1,355072331.2,358322819.6,354865720.2,352137762.9,390508117.2,369271065.9,368060973.3,406930842.4,401288478.8,407783663.3,419114015,424013766.4,442280699.4,420849311.5,431578760.3,433862343.5,437270185.3,450234696.1,424498106.1,468155119.1,440830804.5,483610001.4,477122954.2,466214120.9,498511541.7,461654057.6,506730732.4,487141950.9,537643948.5,509044783.6,457375192.4,507091773.4,510084058.8,532436534.3,510171421.6,565218840.3,563211200.8,466772603.1,522971825.7,486831381.6,549849425.7,583341407.7,521259620.5,570918740,521291739.1,597992525.3,520214827.5,635311049.3,585004297.1,563279574,565217147.2,550923683.5,457897443.6,447883951.2,330762472.2,342193197.6,360722982.5,353158104.4,380848155.2,505615356,426744993.7,363439823.1,395117011.1,333816024.7,378159798.6,329163770.4,307642694.6,313699388.2,362451658.5,438174322.8,400628145.2,477794661.7,433258919,394117150,422028741.7,411282840.3,473452310.7,518081813.8,456195399.7,530922104.8,490657232.5,493873439.7,487095838.4,474426124.4,542235937.1,622960118.3,626311966.6,557777708.2,601782142.9,595781007.2,551105009.3,611908802.5,599640630.6,684441387.7,671879195.5,611544167.2,609136523.5,554795590.1,596297715,525724917.2,483212037.5,357031069.6,403474630,474228723.4,490912397.6,537893079.5,476171299.2,543817522.2,490806733,430557447.1,452871138.3,418500793.8,420272217.3,383059014.7,345363141.4,275988882.6,164244803,244372163.4,310235722.4,354142214.9,333308029.1,315550288.7,324592131.1,283396795.3,360607150.3,320938259.1,341173493.4,425191527.4,400543769.2,425706008.9,424154997.4,470637288.2,437746973.4,406980551.1,457791675.6,444003433.1,466597590.1
    Nova,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    Pemex Magna,166777723.6,168870387.3,195102651.7,202621427.9,224841771.5,203596606.5,216392950.9,232809223,239120422,241293590.6,246003586.6,239254656.4,228337513.3,232010734.1,240456869.5,229746139.6,265572349.6,259721636.4,264363432.4,275804619,266489209.2,263823788.8,257584917.8,278250195,286762609.2,224856028.9,280281000.8,274153563.7,296752038.7,300286742.3,302447308,300115746.1,285285335.8,320305208.5,303146745.1,340254050.5,314542004.9,295614871,307608143.4,303326538.3,321936672,283029728.9,329054081.9,318811845.2,302253174.1,272292289.4,261220462.9,271366983.8,218043512.7,234111843.4,297107737.2,308541193.6,288269965.5,335792192.3,340629280.4,335463566.9,326249185,339040984.3,299221883.5,376538750.4,335360152,314417985.9,362065864.2,339382313.3,354400616.9,356944683.5,363829786.6,324934800.6,333876052.9,327571822.7,328232157.4,360099248,338974294,345668076.6,378126984.4,375154739.2,383242262.8,390177480,395716761.2,412054023.5,391670448.6,402194871.3,403821925.6,396989612.3,414788591.2,395063622.1,429022514.2,402684891.9,437959316,432730607.9,412103318.9,438602745.7,408322466.6,447459873.7,432831168.2,463451109.6,439581553.9,400018023,431225333.8,434343840.5,448644585.8,429572712.2,470912507.7,468002951.1,387226594,429897729.4,409791694,453128895.6,476939189.8,425001133.6,467349080.6,410554293.1,483896499.5,426711538.3,498372058.7,473244655.7,449167535.2,467876800.4,441035063,359882534.9,337209275.3,250125176.4,278422429.3,294882437.3,287657482.9,307708590.7,407637890.5,338068013.1,287588728.2,305186989.1,263733513.4,300238570.2,262012843.6,238441146.2,241203607.7,287660464,356209789.3,321745638.2,392949457.3,352812105,305443446.1,325285069.2,322722172.6,372098851.5,414943507.4,383867643.6,452014051.7,411701120.2,413454293.6,407181407.5,396694978.4,455643254.8,531230110,540234756.9,469200865.5,504926023.4,505112254.8,477923654.1,517501213,514117552.2,582349020.7,581826789,525516047.3,515462960.1,472287861.4,502757303.4,446256712.7,402326531.5,304463530.1,357693763.7,397916058.4,413358390,469554584.3,407415650.9,474418042.7,420032230.5,369546947.6,390171522.2,359338896,355871158.7,318640815.4,285277348.2,221308600.6,135939048.4,192494796.6,211113913.6,238051202.6,214795475.3,195493380.5,206739415,184875938.2,235276292.1,204693454.8,233499842.1,327358481,310864382.1,341472431.9,343397082.3,377101866.9,354831717.9,332333673.9,371533095.4,360699001.8,379203246.8
    Pemex Premium,15297176.35,14977279.02,17826681.45,19365135.85,19899742.84,18974114.6,21471432.38,22875005.36,24000864.88,21743887.36,22843531.84,22736329.59,24489646.38,20345743.7,22898305.18,22783548.74,25772556.66,24475621.42,26796921.09,27217603.01,24965354.63,20767637.95,24103380.86,25157370.49,23280393.49,15376374.92,19848358.36,21462790.35,22672044,23886730.99,25314824.99,24143408.05,21838788.87,20497898.67,23906172.72,26863907.63,23169227.24,20856522.77,21279213.89,20470424.73,21458228.96,24610929.47,24445164.98,20385256.34,17800585.52,17440985.22,17859594.73,16509798.18,14176449.46,11017341.77,14023644.78,16032191.85,12358875.51,15192200.79,32391045.76,27903347.04,25309023.62,21065747.61,29179107.94,29736105.01,30018753.41,20215848.57,26421540.86,23695383.96,25053950.19,24301409.36,28052173.54,30137530.65,24446766.68,27293897.58,23905605.53,30408869.23,30296771.9,22392896.61,28803858.06,26133739.55,24541400.48,28936534.99,28297005.17,30226675.91,29178862.91,29383889,30040417.92,40280573.07,35446104.87,29434484.05,39132604.89,38145912.61,45650685.37,44392346.34,54110801.98,59908796,53331590.97,59270858.76,54310782.72,74192838.88,69463229.72,57357169.42,75866439.54,75740218.28,83791948.55,80598709.43,94306332.66,95208249.68,79546009.06,93074096.28,77039687.62,96720530.09,106402217.9,96258486.97,103569659.4,110737446,114096025.7,93503289.22,136938990.6,111759641.4,114112038.8,97340346.79,109888620.6,98014908.66,110674675.9,80637295.78,63770768.29,65840545.22,65500621.47,73139564.44,97977465.43,88676980.58,75851094.88,89930021.96,70082511.28,77921228.33,67150926.83,69201548.38,72495780.42,74791194.51,81964533.53,78882506.99,84845204.45,80446813.96,88673703.95,96743672.51,88560667.76,101353459.2,103138306.4,72327756.11,78908053.05,78956112.37,80419146.18,79914430.91,77731145.91,86592682.35,91730008.31,86077209.67,88576842.72,96856119.55,90668752.38,73181355.25,94407589.5,85523078.45,102092367,90052406.49,86028119.93,93673563.46,82507728.73,93540411.56,79468204.48,80885506.06,52567539.52,45780866.27,76312664.99,77554007.6,68338495.16,68755648.34,69399479.53,70774502.48,61010499.5,62699616.08,59161897.79,64401058.59,64418199.22,60085793.17,54680282.04,28305754.56,51877366.75,99121808.78,116091012.3,118512553.8,120056908.3,117852716.2,98520857.03,125330858.2,116244804.3,107673651.3,97833046.39,89679387.05,84233577,80757915.14,93535421.29,82915255.57,74646877.22,86258580.18,83304431.32,87394343.27
    Otras Gasolinas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Querosenos,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
